"movie","year","rating","rewatch","score","date_watched","previous_score","notes","review_link"
"Ms .45","1981","2.5","","42","2023-12-16","","",""
"Kung Fu Panda 2","2011","3","yes","55","2023-12-14","","",""
"The Intern","2015","2.5","","46","2023-12-13","","",""
"Quiz Show","1994","3","","59","2023-12-10","","",""
"Animal","2023","2","","31","2023-12-09","","",""
"83","2021","","","","2023-12-08","","",""
"Joyland","2022","3","","60","2023-12-07","","",""
"May December","2023","3.5","","64","2023-12-06","","",""
"The Killer","1989","3.5","","65","2023-12-05","","",""
"The Long Kiss Goodnight","1996","2.5","","45","2023-12-01","","",""
"The Wonderful Story of Henry Sugar","2023","3.5","","63","2023-11-27","","",""
"Modern Times","1936","","","","2023-11-27","","",""
"AK vs AK","2020","","","","2023-11-22","","",""
"Taal","1999","","","","2023-11-21","","",""
"The Killer","2023","2.5","","50","2023-11-17","","",""
"12th Fail","2023","3","","54","2023-11-13","","",""
"The Unreserved","2017","","","","2023-11-09","","",""
"Agra","2023","","","","2023-11-04","","",""
"The Beast","2023","3.5","","66","2023-11-04","","",""
"Joram","2023","2.5","","43","2023-11-03","","",""
"Beyond Utopia","2023","3.5","","63","2023-11-03","","",""
"The Red Suitcase","2023","0.5","","8","2023-11-03","","",""
"Aghaat","1985","","","","2023-11-02","","",""
"The Game of Shifting Mirrors","2020","","","","2023-11-02","","",""
"Millennium Mambo","2001","3.5","","61","2023-11-01","","",""
"Perfect Days","2023","3.5","","62","2023-11-01","","",""
"Heroic Times","1983","3","","55","2023-11-01","","",""
"Borderlands","2021","3.5","","62","2023-11-01","","",""
"Kokomo City","2023","2","","35","2023-10-31","","",""
"The Contestant","2023","2.5","","44","2023-10-31","","",""
"All India Rank","2023","","","","2023-10-30","","",""
"Yavanika","1982","","","","2023-10-30","","",""
"Sweet Juices","2023","","","","2023-10-30","","",""
"Dream Scenario","2023","3.5","","65","2023-10-30","","",""
"Voyages en Italie","2023","","","","2023-10-30","","",""
"Kennedy","2023","2.5","","47","2023-10-29","","",""
"Maestro","2023","","","","2023-10-29","","",""
"Bugis Street","1995","","","","2023-10-28","","",""
"Killers of the Flower Moon","2023","3.5","","63","2023-10-28","","",""
"Terrestrial Verses","2023","","","","2023-10-27","","",""
